year,length,budget,rating,mpaa,type,y,genre,length_c,logit
1997,113,2.30E+07,4.8,PG-13,Bad,0,"Comedy, Romance",5.322761194,0.196379197
1999,97,1.60E+07,6.7,PG-13,Good,1,"Comedy, Romance",-10.67723881,0.093097965
2002,98,1100000,5.6,R,Bad,0,Comedy,-9.677238806,-0.07269542
2004,98,3.70E+07,6.4,PG-13,Good,1,"Comedy, Drama, Romance",-9.677238806,-0.069979184
1999,102,8.50E+07,6.1,R,Bad,0,Action,-5.677238806,0.263583403
2001,120,4.20E+07,6.1,R,Bad,0,Drama,12.32276119,0.071353246
1972,180,4.00E+06,7.3,PG,Good,1,Drama,72.32276119,1.224254037
2003,107,7.60E+07,5.1,PG-13,Bad,0,Action,-0.677238806,0.069374955
1998,87,60000,5.4,R,Bad,0,"Comedy, Documentary, Romance",-20.67723881,0.096706162
1999,101,6.00E+06,5.4,R,Bad,0,"Comedy, Drama",-6.677238806,0.06838993
2000,99,2.60E+07,2.5,R,Bad,0,Comedy,-8.677238806,0.074813195
2004,129,1.20E+07,7.6,R,Good,1,"Drama, Romance",21.32276119,-0.13174927
2003,124,2.00E+07,8,R,Good,1,Drama,16.32276119,-0.068990039
1999,93,2500000,5.6,R,Bad,0,Comedy,-14.67723881,0.059742118
2002,135,1.50E+07,7.8,R,Good,1,Drama,27.32276119,-0.038351252
2000,103,4.30E+07,6,PG-13,Bad,0,Drama,-4.677238806,0.116816854
2001,125,6.20E+07,5.4,R,Bad,0,"Action, Comedy",17.32276119,0.120769315
2002,96,1.70E+07,5.4,R,Bad,0,"Comedy, Drama, Romance",-11.67723881,-0.033409645
2004,99,7.50E+07,6.8,PG-13,Good,1,"Comedy, Romance",-8.677238806,0.023911348
2001,92,2.80E+07,6.1,R,Bad,0,"Action, Comedy",-15.67723881,0.036761998
1998,100,1.30E+07,5.4,R,Bad,0,Drama,-7.677238806,0.128678358
2000,123,8.20E+07,5.9,PG-13,Bad,0,Action,15.32276119,0.213178189
2002,110,4.10E+07,6.8,R,Good,1,Drama,2.322761194,0.025889638
2004,102,4.50E+07,5.4,PG-13,Bad,0,Action,-5.677238806,-0.050212756
2002,99,2.50E+07,4.7,PG-13,Bad,0,Drama,-8.677238806,-0.013643217
2002,125,3.00E+07,7.3,R,Good,1,"Comedy, Drama",17.32276119,-0.0012892
2002,101,2.70E+07,7.5,PG-13,Good,1,"Comedy, Drama",-6.677238806,-0.00870161
2003,96,8.00E+06,4.1,R,Bad,0,Action,-11.67723881,-0.09863968
1997,121,5.00E+07,6.4,R,Good,1,Drama,13.32276119,0.263090891
1989,171,69500000,7.4,PG-13,Good,1,"Action, Drama",63.32276119,0.655213992
1994,86,1.20E+07,6.2,PG-13,Good,1,Comedy,-21.67723881,0.298178772
1995,90,3.00E+07,4.9,PG-13,Bad,0,Comedy,-17.67723881,0.29966043
2002,114,1.90E+07,7.9,R,Good,1,"Comedy, Drama",6.322761194,-0.028468038
2002,95,1.00E+08,3.9,PG-13,Bad,0,"Action, Comedy",-12.67723881,0.171667043
1938,102,1900000,8.2,PG,Good,1,"Action, Romance",-5.677238806,2.680820694
2000,88,7.60E+07,4.3,PG,Bad,0,"Animation, Comedy",-19.67723881,0.198353368
1997,114,6.00E+06,6.9,R,Good,1,Drama,6.322761194,0.154375538
2004,97,5.80E+07,6,PG-13,Bad,0,"Action, Comedy",-10.67723881,-0.018092311
2003,102,2.60E+07,5.5,PG,Bad,0,"Action, Comedy",-5.677238806,-0.054165218
2004,100,2.60E+07,3.8,PG,Bad,0,"Action, Comedy",-7.677238806,-0.097158022
1997,98,3.00E+06,4.7,PG,Bad,0,"Comedy, Drama",-9.677238806,0.146963128
1997,124,8.50E+07,6.3,R,Good,1,"Action, Drama",16.32276119,0.349569012
2003,90,5.00E+05,3,R,Bad,0,Action,-17.67723881,-0.117170706
2004,137,9.50E+07,5.9,PG-13,Bad,0,"Action, Drama",29.32276119,0.073327417
1997,86,1.00E+07,3.2,R,Bad,0,Comedy,-21.67723881,0.164258752
1996,97,5.00E+06,6,R,Bad,0,Drama,-10.67723881,0.194897539
2004,175,1.50E+08,5.5,R,Bad,0,Drama,67.32276119,0.209221607
1996,97,125000,7,R,Good,1,"Comedy, Romance",-10.67723881,0.182852372
2004,103,6.00E+07,6,R,Bad,0,"Comedy, Drama",-4.677238806,-0.013150704
2001,165,1.07E+08,6.4,R,Good,1,Drama,57.32276119,0.231955471
1997,116,7.00E+07,6,R,Bad,0,Action,8.322761194,0.31250696
1986,154,18500000,8.3,R,Good,1,Action,46.32276119,0.658181428
2002,95,1.40E+07,5.4,R,Bad,0,"Action, Comedy",-12.67723881,-0.040822055
2000,116,4.50E+07,5.6,PG-13,Bad,0,Drama,8.322761194,0.121758461
2001,105,2.50E+07,5,PG-13,Bad,0,"Action, Comedy, Drama",-2.677238806,0.029349587
