"","Date","DailyAverageDryBulbTemperature","DailyAverageStationPressure","DailyCoolingDegreeDays","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPrecipitation","Title","Other","Genre"
"1","2019-07-04","92",29.32,"27","0","104",80,"0","Stranger Things: Stranger Things 3: "," Six: E Pluribus Unum","Action/Adventure"
"2","2019-07-04","92",29.32,"27","0","104",80,"0","Stranger Things: Stranger Things 3: "," Five: The Flayed","Action/Adventure"
"3","2019-07-04","92",29.32,"27","0","104",80,"0","Stranger Things: Stranger Things 3: "," Four: The Sauna Test","Action/Adventure"
"4","2019-07-04","92",29.32,"27","0","104",80,"0","Stranger Things: Stranger Things 3: "," Three: The Case of the Missing Lifeguard","Action/Adventure"
"5","2019-07-04","92",29.32,"27","0","104",80,"0","Stranger Things: Stranger Things 3: "," Two: The Mall Rats","Action/Adventure"
"6","2019-07-04","92",29.32,"27","0","104",80,"0","Stranger Things: Stranger Things 3: "," One: Suzie, Do You Copy?","Action/Adventure"
"7","2019-07-04","92",29.32,"27","0","104",80,"0","Stranger Things: "," Two: The Weirdo on Maple Street","Action/Adventure"
"8","2019-07-05","93",29.4,"28","0","105",80,"0","Stranger Things: Stranger Things 3: "," Seven: The Bite","Action/Adventure"
"9","2019-07-17","93",29.39,"28","0","104",81,"0.07s","Divine Secrets of the Ya-Ya Sisterhood",NA,"Drama"
"10","2019-07-17","93",29.39,"28","0","104",81,"0.07s","Stranger Things: Stranger Things 3: "," Eight: The Battle of Starcourt","Action/Adventure"
"11","2019-07-23","89",29.46,"24","0","97",80,"T","Gilmore Girls: "," 2: Red Light on the Wedding Night","Comedy"
"12","2019-07-23","89",29.46,"24","0","97",80,"T","Gilmore Girls: "," 2: Hammers and Veils","Comedy"
"13","2019-07-23","89",29.46,"24","0","97",80,"T","Gilmore Girls: "," 2: Sadie, Sadie...","Comedy"
"14","2019-07-23","89",29.46,"24","0","97",80,"T","Cam",NA,"Horror"
"15","2019-07-26","85",29.5,"20","0","99",71,"0","Frasier: "," 1: Miracle on Third or Fourth Street","Comedy"
"16","2019-07-26","85",29.5,"20","0","99",71,"0","Frasier: "," 1: Death Becomes Him","Comedy"
"17","2019-07-27","89",29.5,"24","0","101",76,"0","Storage Wars: Northern Treasures: "," 2: Bigger Stronger Meaner Dumber","Reality"
"18","2019-07-27","89",29.5,"24","0","101",76,"0","Storage Wars: Northern Treasures: "," 2: Cause That's What Janitors Do!","Reality"
"19","2019-07-28","92",29.42,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Worst Laid Plans","Reality"
"20","2019-07-28","92",29.42,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Knock-Out Punch","Reality"
"21","2019-07-28","92",29.42,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Keep Your Friends Close and Your Enemies Closer","Reality"
"22","2019-07-28","92",29.42,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Shirt Happens","Reality"
"23","2019-07-28","92",29.42,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Who Wants to Be a Bazillionaire","Reality"
"24","2019-07-28","92",29.42,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: That's Mr. Pecker to You","Reality"
"25","2019-07-29","90",29.38,"25","0","103",77,"0","Storage Wars: Northern Treasures: "," 2: Roy Marks His Territory","Reality"
"26","2019-07-29","90",29.38,"25","0","103",77,"0","Storage Wars: Northern Treasures: "," 2: Chini-Chilla Bang Bang","Reality"
"27","2019-07-30","92",29.41,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Three Kennys Are Worse Than None","Reality"
"28","2019-07-30","92",29.41,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Utopia?","Reality"
"29","2019-07-30","92",29.41,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Confessions of a Dangerous Mime","Reality"
"30","2019-07-30","92",29.41,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Roy Dirnbeck: The Roy Dirnbeck Story","Reality"
"31","2019-07-30","92",29.41,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Cougar Pants!","Reality"
"32","2019-07-30","92",29.41,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Schlock Therapy","Reality"
"33","2019-07-30","92",29.41,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Kennys vs Kennys","Reality"
"34","2019-07-30","92",29.41,"27","0","105",79,"0","Avengers: Infinity War",NA,"Action/Adventure"
"35","2019-07-30","92",29.41,"27","0","105",79,"0","Thor: Ragnarok",NA,"Action/Adventure"
"36","2019-07-31","92",29.41,"27","0","106",78,"0","Secret Obsession",NA,"Action/Adventure"
"37","2019-07-31","92",29.41,"27","0","106",78,"0","Storage Wars: Northern Treasures: "," 2: Pranking the Monkeys","Reality"
"38","2019-07-31","92",29.41,"27","0","106",78,"0","Storage Wars: Northern Treasures: "," 2: Exceedingly Loud and Uncomfortably Close","Reality"
"39","2019-07-31","92",29.41,"27","0","106",78,"0","Storage Wars: Northern Treasures: "," 2: Goji, Bogie and the Yogi","Reality"
"40","2019-07-31","92",29.41,"27","0","106",78,"0","Storage Wars: Northern Treasures: "," 2: Instigator in Training","Reality"
"41","2019-07-31","92",29.41,"27","0","106",78,"0","Mr. Mom",NA,"Comedy"
"42","2019-07-31","92",29.41,"27","0","106",78,"0","The Dark Knight",NA,"Drama"
"43","2019-08-01","91",29.42,"26","0","104",78,"0","Storage Wars: Northern Treasures: "," 2: Freaks and Greeks","Reality"
"44","2019-08-01","91",29.42,"26","0","104",78,"0","Copycat",NA,"Action/Adventure"
"45","2019-08-01","91",29.42,"26","0","104",78,"0","Panic Room",NA,"Action/Adventure"
"46","2019-08-01","91",29.42,"26","0","104",78,"0","Platoon",NA,"Drama"
"47","2019-08-01","91",29.42,"26","0","104",78,"0","Storage Wars: Northern Treasures: "," 2: All Aboard the Party Train!","Reality"
"48","2019-08-01","91",29.42,"26","0","104",78,"0","Swordfish",NA,"Action/Adventure"
"49","2019-08-01","91",29.42,"26","0","104",78,"0","Scarface",NA,"Action/Adventure"
"50","2019-08-02","91",29.39,"26","0","104",77,"0","As Above, So Below",NA,"Horror"
"51","2019-08-02","91",29.39,"26","0","104",77,"0","Storage Wars: Northern Treasures: "," 2: Ursula Goes Bananas","Reality"
"52","2019-08-02","91",29.39,"26","0","104",77,"0","Storage Wars: Northern Treasures: "," 2: The Birds and the Bees and the Bulls","Reality"
"53","2019-08-02","91",29.39,"26","0","104",77,"0","Storage Wars: Northern Treasures: "," 2: Two Men and a Fake Baby","Reality"
"54","2019-08-02","91",29.39,"26","0","104",77,"0","Storage Wars: Northern Treasures: "," 2: Between a Brawk and a Hard Place","Reality"
"55","2019-08-02","91",29.39,"26","0","104",77,"0","Storage Wars: Northern Treasures: "," 2: Hug Life","Reality"
"56","2019-08-02","91",29.39,"26","0","104",77,"0","Storage Wars: Northern Treasures: "," 2: Honeymoon Capital of the Storage World","Reality"
